State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
CA,1,Stanford University,Stanford,94305,www.stanford.edu/,37.426967,-122.168826,0.0509,Private nonprofit,Suburb,1465,60311,0,0,0,1,0,1,1,1,1,1,0,1,122100,396.1,10,59.96,33,7018,7470,6.05,1-Jan-19
MA,2,Williams College,Williamstown,1267,www.williams.edu,42.711669,-73.205888,0.1932,Private nonprofit,Town,1452,61850,0,1,0,1,0,0,1,1,1,1,0,1,68800,391.4,16,57.42,33,2019,242,3.2,1-Jan-19
NJ,3,Princeton University,Princeton,08544-0070,www.princeton.edu,40.34853,-74.663603,0.0744,Private nonprofit,Suburb,1491,57400,0,0,1,0,0,1,1,1,1,1,0,1,93200,261.2,20,56.82,33,5258,534,1.75,1-Jan-19
MA,4,Harvard University,Cambridge,2138,www.harvard.edu,42.374429,-71.118177,0.0596,Private nonprofit,City,1501,59950,0,1,0,1,0,1,1,1,1,1,0,1,112800,391.4,16,57.42,34,7236,5888,5.31,1-Jan-19
MA,5,Massachusetts Institute of Technology,Cambridge,02139-4307,web.mit.edu/student/,42.360095,-71.092115,0.0788,Private nonprofit,City,1500,59020,0,0,1,1,0,1,1,1,0,1,1,1,126500,391.4,16,57.42,34,4476,5888,5.31,1-Jan-19
CT,6,Yale University,New Haven,6520,www.yale.edu,41.311158,-72.926688,0.063,Private nonprofit,City,1493,61620,0,1,1,1,0,1,1,1,1,1,0,1,100500,236.9,17,57.04,33,5473,1156,4.84,31-Dec-18
CA,7,Pomona College,Claremont,91711-6319,www.pomona.edu,34.098298,-117.711944,0.1219,Private nonprofit,Suburb,1454,59730,0,1,0,1,0,1,1,1,1,1,0,1,56300,396.1,10,59.96,33,1635,10598,6.86,1-Jan-19
RI,8,Brown University,Providence,2912,www.brown.edu,41.827605,-71.404467,0.0874,Private nonprofit,City,1435,60460,0,1,0,1,1,1,1,1,1,1,1,1,68500,219.2,27,52.37,32,6264,14204,7.91,1-Jan-19
CT,9,Wesleyan University,Middletown,6459,www.wesleyan.edu,41.55678,-72.656755,0.2391,Private nonprofit,City,NULL,62849,0,1,0,1,0,0,1,1,1,1,0,1,46500,236.9,17,57.04,NULL,2907,1580,3.37,1-Jan-19
PA,10,Swarthmore College,Swarthmore,19081,www.swarthmore.edu,39.904081,-75.356066,0.1702,Private nonprofit,Suburb,1433,60671,0,1,0,1,1,1,1,1,1,1,0,1,46600,314.1,34,49.98,32,1530,188,2.67,1-Jan-19
PA,11,University of Pennsylvania,Philadelphia,19104-6303,www.upenn.edu,39.951002,-75.193618,0.1037,Private nonprofit,City,1452,61800,0,1,1,1,0,1,1,1,1,1,1,1,106900,314.1,34,49.98,33,10678,130954,8.35,1-Jan-19
MA,12,Amherst College,Amherst,01002-5000,www.amherst.edu,42.372459,-72.518493,0.1384,Private nonprofit,Suburb,1439,61544,0,1,1,1,0,0,1,1,1,1,0,1,62100,391.4,16,57.42,32,1792,668,1.67,1-Jan-19
IN,13,University of Notre Dame,Notre Dame,46556,www.nd.edu,41.703058,-86.238959,0.2114,Private nonprofit,Suburb,1450,60117,0,1,1,1,1,1,1,1,1,1,1,1,78700,365.3,40,45.94,33,8427,12260,12.11,1-Jan-19
IL,14,Northwestern University,Evanston,60208,www.northwestern.edu,42.058377,-87.673653,0.1311,Private nonprofit,City,1461,63028,0,1,0,1,1,1,1,1,1,1,1,1,73500,370,25,52.6,33,8725,3892,5.13,1-Jan-19
NY,15,Columbia University in the City of New York,New York,10027,www.columbia.edu,40.808286,-73.961885,0.0695,Private nonprofit,City,1470,64144,0,1,1,1,1,1,1,1,1,1,1,1,92100,381.8,26,52.54,33,8100,359896,4.21,1-Jan-19
NH,16,Dartmouth College,Hanover,03755-3529,www.dartmouth.edu,43.70408,-72.289951,0.115,Private nonprofit,Town,1444,63279,0,1,0,1,0,1,1,1,1,1,0,1,85300,196.1,11,59.5,32,4184,264,2.31,1-Jan-19
MA,17,Tufts University,Medford,02155-5555,www.tufts.edu,42.406994,-71.121689,0.1724,Private nonprofit,Suburb,1423,61000,0,1,1,1,0,1,1,1,1,1,0,1,82900,391.4,16,57.42,32,5143,1736,3.01,1-Jan-19
ME,18,Bowdoin College,Brunswick,4011,www.bowdoin.edu/,43.906902,-69.965241,0.1491,Private nonprofit,Town,NULL,59900,0,1,0,1,1,0,1,1,1,1,0,1,63300,127.8,33,51.32,NULL,1797,714,3.48,1-Jan-19
IL,19,University of Chicago,Chicago,60637,WWW.UCHICAGO.EDU,41.78917,-87.601196,0.0876,Private nonprofit,City,1505,64988,0,1,0,1,0,0,1,1,1,2,0,1,81700,370,25,52.6,34,5729,210116,7.7,1-Jan-19
DC,20,Georgetown University,Washington,20057-0001,www.georgetown.edu,38.908809,-77.073463,0.1735,Private nonprofit,City,1414,62179,0,0,0,1,0,0,1,1,1,1,1,1,99400,1244.4,18,57.01,32,7211,76886,11.44,10-Jan-19
MA,21,Boston College,Chestnut Hill,2467,www.bc.edu,42.337688,-71.171488,0.3391,Private nonprofit,City,1380,60690,0,1,0,1,1,0,1,1,1,1,1,1,77600,391.4,16,57.42,32,9483,40220,6.05,1-Jan-19
PA,22,Haverford College,Haverford,19041-1392,www.haverford.edu,40.013368,-75.302562,0.2469,Private nonprofit,Suburb,1422,61898,0,0,1,1,0,0,1,1,1,1,0,1,53100,314.1,34,49.98,33,1187,182,1.75,15-Jan-19
NC,23,Davidson College,Davidson,28035,www.davidson.edu/,35.500006,-80.845236,0.2167,Private nonprofit,Suburb,1337,57458,0,1,0,0,0,0,1,1,1,1,0,1,60900,329.5,30,52.16,30,1765,278,2.27,2-Jan-19
NC,24,Duke University,Durham,27708,WWW.DUKE.EDU,36.00159,-78.94226,0.1141,Private nonprofit,City,1454,61748,0,1,0,1,1,1,1,1,1,1,0,1,98300,329.5,30,52.16,33,6480,25526,9.9,2-Jan-19
MN,25,Carleton College,Northfield,55057-4001,www.carleton.edu,44.462304,-93.154662,0.2277,Private nonprofit,Town,1408,60401,0,1,0,1,0,0,1,1,1,1,0,1,52100,229.1,2,69.09,32,2042,480,2.35,15-Jan-19
CA,26,Claremont McKenna College,Claremont,91711-6400,www.cmc.edu,34.102323,-117.706593,0.1077,Private nonprofit,Suburb,1419,62010,0,1,0,1,0,1,1,1,1,1,1,1,70200,396.1,10,59.96,32,1293,10598,6.86,1-Jan-19
